,Timestamp,Acc-x, Acc-y, Acc-z,Time
6442,1640237458902,0.1658869,0.79170567,11.866003,2021:12:23:14:30:58.902
6443,1640237458918,-0.041322004,5.1466856,13.709923,2021:12:23:14:30:58.918
6444,1640237458940,0.7180447,4.1405845,7.4708986,2021:12:23:14:30:58.940
6445,1640237458957,0.7276266,5.9599504,6.900176,2021:12:23:14:30:58.957
6446,1640237458984,0.9150728,4.7616124,3.8297713,2021:12:23:14:30:58.984
6447,1640237459002,0.76655316,3.799229,8.3763895,2021:12:23:14:30:59.002
6448,1640237459017,0.71325374,2.7452185,13.09668,2021:12:23:14:30:59.017
6449,1640237459035,0.72283566,3.6309466,10.658682,2021:12:23:14:30:59.035
6450,1640237459059,0.8048808,4.728076,6.018041,2021:12:23:14:30:59.059
6451,1640237459085,0.8623723,3.587229,8.565034,2021:12:23:14:30:59.085
6452,1640237459102,0.17966089,6.2048883,9.62144,2021:12:23:14:30:59.102
6453,1640237459118,0.26170602,1.2684059,8.918366,2021:12:23:14:30:59.118
6454,1640237459136,0.03593218,3.6261556,11.828274,2021:12:23:14:30:59.136
6455,1640237459156,0.10300558,0.17606768,11.460568,2021:12:23:14:30:59.156
6456,1640237459176,-0.18085863,5.8587418,7.324176,2021:12:23:14:30:59.176
6457,1640237459201,0.41082457,4.915522,9.786129,2021:12:23:14:30:59.201
6458,1640237459218,0.30662125,5.204177,9.92327,2021:12:23:14:30:59.218
6459,1640237459235,0.29703933,3.9770932,7.942808,2021:12:23:14:30:59.235
6460,1640237459257,-0.029943481,3.5728562,6.655238,2021:12:23:14:30:59.257
6461,1640237459284,-0.31320882,3.890856,7.8481865,2021:12:23:14:30:59.284
6462,1640237459302,-1.3612307,3.4476924,8.371598,2021:12:23:14:30:59.302
6463,1640237459317,-1.9762698,4.626867,8.512932,2021:12:23:14:30:59.317
6464,1640237459338,-1.6930045,2.6296365,9.342965,2021:12:23:14:30:59.338
6465,1640237459358,-0.56353635,2.581727,12.2385,2021:12:23:14:30:59.358
6466,1640237459390,-1.1354568,3.9866753,8.687801,2021:12:23:14:30:59.390
6467,1640237459403,-1.1109031,2.8560092,8.3105135,2021:12:23:14:30:59.403
6468,1640237459419,-1.4330951,2.288281,10.579032,2021:12:23:14:30:59.419
6469,1640237459438,-1.8846427,3.9291837,4.5376353,2021:12:23:14:30:59.438
6470,1640237459458,-1.0725756,3.0242918,10.121495,2021:12:23:14:30:59.458
6471,1640237459479,-0.4910731,5.132313,12.361268,2021:12:23:14:30:59.479
6472,1640237459503,-1.4522588,4.5400305,3.48602,2021:12:23:14:30:59.503
6473,1640237459523,-1.7504959,3.4141557,6.518097,2021:12:23:14:30:59.523
6474,1640237459535,-0.75517464,4.7520304,11.488715,2021:12:23:14:30:59.535
6475,1640237459556,-1.4426769,2.364936,9.329191,2021:12:23:14:30:59.556
6476,1640237459577,-1.5193323,1.8888348,11.488715,2021:12:23:14:30:59.577
6477,1640237459606,0.42699406,1.3977617,10.649698,2021:12:23:14:30:59.606
6478,1640237459620,1.479208,3.0728002,11.409065,2021:12:23:14:30:59.620
6479,1640237459635,2.2631283,3.9435565,4.683759,2021:12:23:14:30:59.635
6480,1640237459658,2.0271738,4.213048,9.40944,2021:12:23:14:30:59.658
6481,1640237459674,2.1858742,3.1255007,8.136243,2021:12:23:14:30:59.674
6482,1640237459701,0.9174683,3.8471386,7.8811245,2021:12:23:14:30:59.701
6483,1640237459718,0.4078302,5.0598497,5.3910246,2021:12:23:14:30:59.718
6484,1640237459738,-0.029344613,3.187783,9.946626,2021:12:23:14:30:59.738
6485,1640237459756,-0.5150279,4.0351834,10.361643,2021:12:23:14:30:59.756
6486,1640237459785,-0.2838642,2.7985177,7.951791,2021:12:23:14:30:59.785
6487,1640237459800,0.023355916,2.5290265,9.23457,2021:12:23:14:30:59.800
6488,1640237459819,-0.15450837,2.8560092,9.687315,2021:12:23:14:30:59.819
6489,1640237459837,-1.1109031,3.5297377,3.9010367,2021:12:23:14:30:59.837
6490,1640237459857,-0.63959277,2.38949,14.55912,2021:12:23:14:30:59.857
6491,1640237459883,0.36950257,4.5735674,9.607067,2021:12:23:14:30:59.883
6492,1640237459900,0.31680202,3.4189467,6.909758,2021:12:23:14:30:59.900
6493,1640237459917,0.58090353,4.343003,8.366808,2021:12:23:14:30:59.917
6494,1640237459939,0.15810159,5.6036234,4.8065276,2021:12:23:14:30:59.939
6495,1640237459956,-0.61563796,1.8936257,9.875959,2021:12:23:14:30:59.956
6496,1640237459975,0.008983045,2.8464274,8.320096,2021:12:23:14:30:59.975
6497,1640237460000,0.43238387,3.7752743,6.7450686,2021:12:23:14:31:00.000
